uniqueID,name,gender,birthDate,member,partyAbbrev,partyName,partySimplifiedName,year_elected
Badman1885,"Badman, Albert",male,1885-12-18,1,CP,Australian Country Party,Nationals,1937
Badman1885,"Badman, Albert",male,1885-12-18,1,UAP,United Australia Party,United Australia Party,1937
Bailey1946,"Bailey, Fran",female,1946-05-21,1,LIB,Liberal Party of Australia,Liberals,1990
Bailey1946,"Bailey, Fran",female,1946-05-21,1,LIB,Liberal Party of Australia,Liberals,1996
Baillieu1937,"Baillieu, Marshall",male,1937-06-06,1,LIB,Liberal Party of Australia,Liberals,1975
Baird1942,"Baird, Bruce",male,1942-02-28,1,LIB,Liberal Party of Australia,Liberals,1998
Baker1841,"Baker, Richard",male,1841-06-22,0,FT,Free Trade,Free Trade,NA
Baker1873,"Baker, Francis Patrick",male,1873-05-30,1,ALP,Australian Labor Party,Labor,1940
Baker1903,"Baker, Francis Matthew",male,NA,1,FLP,Federal Labor Party,Federal Labor Party,1934
Baker1903,"Baker, Francis Matthew",male,NA,1,FLP,Federal Labor Party,Federal Labor Party,1931
Baker1958,"Baker, Mark",male,1958-12-31,1,LIB,Liberal Party of Australia,Liberals,2004
Bakhap1866,"Bakhap, Thomas",male,1866-10-29,0,LIB,Liberal Party of Australia,Liberals,NA
Baldwin1951,"Baldwin, Peter",male,1951-04-12,1,ALP,Australian Labor Party,Labor,1983
Baldwin1955,"Baldwin, Bob",male,1955-03-09,1,LIB,Liberal Party of Australia,Liberals,1996
Baldwin1955,"Baldwin, Bob",male,1955-03-09,1,LIB,Liberal Party of Australia,Liberals,2001
Bamford1849,"Bamford, Frederick",male,1849-02-11,1,ALP,Australian Labor Party,Labor,1901
Bamford1849,"Bamford, Frederick",male,1849-02-11,1,NAT,Nationalist Party,Nationalist Party,1901
Bandidt1906,"Bandidt, Henry",male,1906-10-12,1,CP,Australian Country Party,Nationals,1958
Bandt1972,"Bandt, Adam",male,1972-03-11,1,GRN,Australian Greens,Australian Greens,2010
Banks1962,"Banks, Julia",female,1962-09-18,1,IND,Independent,Independent,2016
Banks1962,"Banks, Julia",female,1962-09-18,1,LIB,Liberal Party of Australia,Liberals,2016
Barker1846,"Barker, Stephen",male,NA,0,ALP,Australian Labor Party,Labor,NA
Barnard1890,"Barnard, Claude",male,1890-10-16,1,ALP,Australian Labor Party,Labor,1934
Barnard1890,"Barnard, Claude",male,1890-10-16,1,FLP,Federal Labor Party,Federal Labor Party,1934
Barnard1919,"Barnard, Lance",male,1919-05-01,1,ALP,Australian Labor Party,Labor,1954
Barnes1868,"Barnes, John",male,1868-07-17,0,ALP,Australian Labor Party,Labor,NA
Barnes1901,"Barnes, Ced",male,1901-11-13,1,CP,Australian Country Party,Nationals,1958
Barnett1962,"Barnett, Guy",male,1962-04-05,0,LIB,Liberal Party of Australia,Liberals,NA
Barresi1955,"Barresi, Phil",male,1955-08-08,1,LIB,Liberal Party of Australia,Liberals,1996
Barrett1858,"Barrett, John",male,1858-12-17,0,ALP,Australian Labor Party,Labor,NA
Bartlett1949,"Bartlett, Kerry",male,1949-04-15,1,LIB,Liberal Party of Australia,Liberals,1996
Bartlett1964,"Bartlett, Andrew",male,1964-08-04,0,AD,Australian Democrats,Australian Democrats,NA
Barton1849,"Barton, Edmund",male,1849-01-18,1,PROT,Protectionist Party,Protectionist Party,1901
Barwell1877,"Barwell, Henry",male,1877-02-26,0,NAT,Nationalist Party,Nationalist Party,NA
Barwick1903,"Barwick, Garfield",male,1903-06-22,1,LIB,Liberal Party of Australia,Liberals,1958
Batchelor1865,"Batchelor, Lee",male,1865-04-10,1,ALP,Australian Labor Party,Labor,1903
Batchelor1865,"Batchelor, Lee",male,1865-04-10,1,ALP,Australian Labor Party,Labor,1901
Bate1906,"Bate, Jeff",male,1906-03-05,1,IND,Independent,Independent,1949
Bate1906,"Bate, Jeff",male,1906-03-05,1,LIB,Liberal Party of Australia,Liberals,1949
Baume1930,"Baume, Michael",male,1930-07-06,1,LIB,Liberal Party of Australia,Liberals,1975
Baume1935,"Baume, Peter",male,1935-01-30,0,LIB,Liberal Party of Australia,Liberals,NA
Bayley1882,"Bayley, James",male,1882-03-26,1,NAT,Nationalist Party,Nationalist Party,1917
Beahan1937,"Beahan, Michael",male,1937-01-21,0,ALP,Australian Labor Party,Labor,NA
Beale1898,"Beale, Howard",male,1898-12-10,1,LIB,Liberal Party of Australia,Liberals,1946
Beale1934,"Beale, Julian",male,1934-10-10,1,LIB,Liberal Party of Australia,Liberals,1990
Beale1934,"Beale, Julian",male,1934-10-10,1,LIB,Liberal Party of Australia,Liberals,1984
Beard1866,"Beard, Henry",male,1866-01-20,1,ALP,Australian Labor Party,Labor,1910
Beasley1895,"Beasley, Jack",male,1895-11-09,1,ALP,Australian Labor Party,Labor,1928
Beasley1895,"Beasley, Jack",male,1895-11-09,1,ALP,Australian Labor Party,Labor,1928
Beasley1895,"Beasley, Jack",male,1895-11-09,1,ALP,Australian Labor Party,Labor,1928
Beasley1895,"Beasley, Jack",male,1895-11-09,1,ALP (N-C),Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),1928
Beasley1895,"Beasley, Jack",male,1895-11-09,1,LANG LAB,Lang Labor Party,Lang Labor Party,1928
Beaton1925,"Beaton, Noel",male,1925-12-28,1,ALP,Australian Labor Party,Labor,1960
Beazley1917,"Beazley, Kim (Sr)",male,1917-09-30,1,ALP,Australian Labor Party,Labor,1945
Beazley1948,"Beazley, Kim (Jr)",male,1948-12-14,1,ALP,Australian Labor Party,Labor,1996
Beazley1948,"Beazley, Kim (Jr)",male,1948-12-14,1,ALP,Australian Labor Party,Labor,1980
Beck1882,"Beck, Arthur",male,1882-07-08,1,UAP,United Australia Party,United Australia Party,1940
Beddall1948,"Beddall, David",male,1948-11-27,1,ALP,Australian Labor Party,Labor,1983
Beddall1948,"Beddall, David",male,1948-11-27,1,ALP,Australian Labor Party,Labor,1984
Beerworth1886,"Beerworth, Frederick",male,1886-05-17,0,ALP,Australian Labor Party,Labor,NA
Bell1872,"Bell, George",male,1872-11-29,1,NAT,Nationalist Party,Nationalist Party,1919
Bell1872,"Bell, George",male,1872-11-29,1,NAT,Nationalist Party,Nationalist Party,1925
Bell1872,"Bell, George",male,1872-11-29,1,UAP,United Australia Party,United Australia Party,1919
Bell1872,"Bell, George",male,1872-11-29,1,UAP,United Australia Party,United Australia Party,1925
Bell1950,"Bell, Robert",male,1950-07-22,0,AD,Australian Democrats,Australian Democrats,NA
Bell1968,"Bell, Angie",female,1968-07-11,1,LIB,Liberal Party of Australia,Liberals,2019
Benn1897,"Benn, Archie",male,1897-01-20,0,ALP,Australian Labor Party,Labor,NA
Bennett1872,"Bennett, Benjamin",male,NA,1,ALP,Australian Labor Party,Labor,1912
Bennett1874,"Bennett, James",male,NA,1,LIB,Liberal Party of Australia,Liberals,1913
Bennett1933,"Bennett, Adrian",male,1933-01-21,1,ALP,Australian Labor Party,Labor,1969
Benny1869,"Benny, Benjamin",male,1869-10-21,0,NAT,Nationalist Party,Nationalist Party,NA
Benson1909,"Benson, Sam",male,1909-07-12,1,ALP,Australian Labor Party,Labor,1962
Benson1909,"Benson, Sam",male,1909-07-12,1,IND,Independent,Independent,1962
Berinson1932,"Berinson, Joe",male,1932-01-07,1,ALP,Australian Labor Party,Labor,1969
Bernardi1969,"Bernardi, Cory",male,1969-11-06,0,LIB,Liberal Party of Australia,Liberals,NA
Bernardi1969,"Bernardi, Cory",male,1969-11-06,0,IND,Independent,Independent Labor,NA
Bernardi1969,"Bernardi, Cory",male,1969-11-06,0,ACP,Australian Conservative Party,Conservative,NA
Berry1907,"Berry, Doug",male,1907-05-03,1,LIB,Liberal Party of Australia,Liberals,1949
Bessell1923,"Bessell, Eric",male,1923-06-06,0,LIB,Liberal Party of Australia,Liberals,NA
Best1856,"Best, Robert",male,1856-06-18,1,LIB,Liberal Party of Australia,Liberal Party of Australia,1910
Best1856,"Best, Robert",male,1856-06-18,1,NAT,Nationalist Party,Nationalist Party,1910
Best1856,"Best, Robert",male,1856-06-18,1,PROT,Protectionist Party,Protectionist Party,1910
Bevis1955,"Bevis, Arch",male,1955-04-10,1,ALP,Australian Labor Party,Labor,1990
Bidgood1959,"Bidgood, James",male,1959-05-26,1,ALP,Australian Labor Party,Labor,2007
Billson1966,"Billson, Bruce",male,1966-01-26,1,LIB,Liberal Party of Australia,Liberals,1996
Bilney1939,"Bilney, Gordon",male,1939-06-21,1,ALP,Australian Labor Party,Labor,1983
Bilyk1959,"Bilyk, Catryna",female,1959-02-07,0,ALP,Australian Labor Party,Labor,NA
Bird1906,"Bird, Alan",male,1906-09-28,1,ALP,Australian Labor Party,Labor,1949
Bird1962,"Bird, Sharon",female,1962-11-15,1,ALP,Australian Labor Party,Labor,2004
Birmingham1974,"Birmingham, Simon",male,1974-06-14,0,LIB,Liberal Party of Australia,Liberals,NA
Birney1928,"Birney, Jack",male,1928-09-26,1,LIB,Liberal Party of Australia,Liberals,1975
Birrell1913,"Birrell, Fred",male,1913-12-07,1,ALP,Australian Labor Party,Labor,1963
Bishop1913,"Bishop, Reg",male,1913-02-04,0,ALP,Australian Labor Party,Labor,NA
Bishop1942,"Bishop, Bronwyn",female,1942-10-19,1,LIB,Liberal Party of Australia,Liberals,1994
Bishop1954,"Bishop, Mark",male,1954-06-29,0,ALP,Australian Labor Party,Labor,NA
Bishop1956,"Bishop, Julie",female,1956-07-17,1,LIB,Liberal Party of Australia,Liberals,1998
BjelkePetersen1920,"Bjelke-Petersen, Florence",female,1920-08-11,0,NCP,National Country Party,Nationals,NA
BjelkePetersen1920,"Bjelke-Petersen, Florence",female,1920-08-11,0,NPA,National Party of Australia,Nationals,NA
Black1952,"Black, John",male,1952-01-26,0,ALP,Australian Labor Party,Labor,NA
Blackburn1880,"Blackburn, Maurice",male,1880-11-19,1,ALP,Australian Labor Party,Labor,1934
Blackburn1880,"Blackburn, Maurice",male,1880-11-19,1,FLP,Federal Labor Party,Federal Labor Party,1934
Blackburn1880,"Blackburn, Maurice",male,1880-11-19,1,IND LAB,Independent Labor,Independent Labor,1934
Blackburn1889,"Blackburn, Doris",female,1889-09-18,1,IND LAB,Independent Labor,Independent Labor,1946
Blacklow1879,"Blacklow, Archibald",male,1879-10-11,1,UAP,United Australia Party,United Australia Party,1931
Blackwood1861,"Blackwood, Robert",male,1861-06-20,1,FT,Free Trade,Free Trade,1903
Blain1894,"Blain, Adair",male,1894-11-21,1,IND,Independent,Independent,1934
Blakeley1886,"Blakeley, Arthur",male,1886-07-03,1,ALP,Australian Labor Party,Labor,1917
Blakeley1886,"Blakeley, Arthur",male,1886-07-03,1,FLP,Federal Labor Party,Federal Labor Party,1917
Blakey1879,"Blakey, Albert",male,1879-11-09,0,ALP,Australian Labor Party,Labor,NA
Blanchard1929,"Blanchard, Allen",male,1929-04-17,1,ALP,Australian Labor Party,Labor,1983
Bland1882,"Bland, Francis",male,1882-08-24,1,LIB,Liberal Party of Australia,Liberals,1951
Blewett1933,"Blewett, Neal",male,1933-10-24,1,ALP,Australian Labor Party,Labor,1977
Blundell1871,"Blundell, Reginald",male,1871-02-04,1,NAT,Nationalist Party,Nationalist Party,1919
Blunt1951,"Blunt, Charles",male,1951-01-19,1,NPA,National Party of Australia,Nationals,1984
Bolkus1950,"Bolkus, Nick",male,1950-07-17,0,ALP,Australian Labor Party,Labor,NA
Bolton1860,"Bolton, William",male,1860-11-01,0,NAT,Nationalist Party,Nationalist Party,NA
Bonner1922,"Bonner, Neville",male,1922-03-28,0,IND,Independent,Independent,NA
Bonner1922,"Bonner, Neville",male,1922-03-28,0,LIB,Liberal Party of Australia,Liberals,NA
Bonnett1916,"Bonnett, Robert",male,1916-09-01,1,LIB,Liberal Party of Australia,Liberals,1966
Bonython1848,"Bonython, John",male,1848-10-15,1,PROT,Protectionist Party,Protectionist Party,1903
Bonython1848,"Bonython, John",male,1848-10-15,1,PROT,Protectionist Party,Protectionist Party,1901
Bosman1924,"Bosman, Len",male,1924-02-05,1,LIB,Liberal Party of Australia,Liberals,1963
Bostock1892,"Bostock, William",male,1892-02-05,1,LIB,Liberal Party of Australia,Liberals,1949
Boswell1940,"Boswell, Ron",male,1940-12-09,0,NP,The Nationals,Nationals,NA
Boswell1940,"Boswell, Ron",male,1940-12-09,0,NPA,National Party of Australia,Nationals,NA
Bourchier1929,"Bourchier, John",male,1929-10-12,1,LIB,Liberal Party of Australia,Liberals,1972
Bourke1913,"Bourke, Bill",male,1913-06-02,1,ALP,Australian Labor Party,Labor,1949
Bourke1913,"Bourke, Bill",male,1913-06-02,1,ALP (A-C),Australian Labor Party (Anti-Communist),Australian Labor Party (Anti-Communist),1949
Bourne1954,"Bourne, Vicki",female,1954-10-22,0,AD,Australian Democrats,Australian Democrats,NA
Bowden1871,"Bowden, Eric",male,1871-09-30,1,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party,1906
Bowden1871,"Bowden, Eric",male,1871-09-30,1,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party,1919
Bowden1871,"Bowden, Eric",male,1871-09-30,1,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party,1922
Bowden1871,"Bowden, Eric",male,1871-09-30,1,NAT,Nationalist Party,Nationalist Party,1906
Bowden1871,"Bowden, Eric",male,1871-09-30,1,NAT,Nationalist Party,Nationalist Party,1919
Bowden1871,"Bowden, Eric",male,1871-09-30,1,NAT,Nationalist Party,Nationalist Party,1922
Bowden1888,"Bowden, George",male,1888-03-17,1,CP,Australian Country Party,Nationals,1943
Bowen1911,"Bowen, Nigel",male,1911-05-26,1,LIB,Liberal Party of Australia,Liberals,1964
Bowen1922,"Bowen, Lionel",male,1922-12-28,1,ALP,Australian Labor Party,Labor,1969
Bowen1973,"Bowen, Chris",male,1973-01-17,1,ALP,Australian Labor Party,Labor,2010
Bowen1973,"Bowen, Chris",male,1973-01-17,1,ALP,Australian Labor Party,Labor,2004
Boyce1951,"Boyce, Sue",female,1951-03-15,0,LIB,Liberal Party of Australia,Liberals,NA
Boyd1867,"Boyd, James",male,1867-07-07,1,LIB,Liberal Party of Australia,Liberals,1913
Boyd1867,"Boyd, James",male,1867-07-07,1,NAT,Nationalist Party,Nationalist Party,1913
Bradbury1976,"Bradbury, David",male,1976-02-28,1,ALP,Australian Labor Party,Labor,2007
Braddon1829,"Braddon, Edward",male,1829-06-11,1,FT,Free Trade,Free Trade,1901
Braddon1829,"Braddon, Edward",male,1829-06-11,1,FT,Free Trade,Free Trade,1903
Bradfield1933,"Bradfield, Jim",male,1933-07-30,1,LIB,Liberal Party of Australia,Liberals,1975
Bradford1946,"Bradford, John",male,1946-01-03,1,CDP,Christian Democratic Party,Christian Democratic Party,1990
Bradford1946,"Bradford, John",male,1946-01-03,1,LIB,Liberal Party of Australia,Liberals,1990
Bragg1984,"Bragg, Andrew",male,1984-07-11,0,LIB,Liberal Party of Australia,Liberals,NA
Braithwaite1933,"Braithwaite, Ray",male,1933-12-06,1,NCP,National Country Party,Nationals,1975
Braithwaite1933,"Braithwaite, Ray",male,1933-12-06,1,NPA,National Party of Australia,Nationals,1975
Brand1873,"Brand, Charles",male,1873-09-04,0,LIB,Liberal Party of Australia,Liberal Party of Australia,NA
Brand1873,"Brand, Charles",male,1873-09-04,0,UAP,United Australia Party,United Australia Party,NA
Brand1888,"Brand, William",male,1888-08-22,1,CP,Australian Country Party,Nationals,1954
Brandis1957,"Brandis, George",male,1957-06-22,0,LIB,Liberal Party of Australia,Liberals,NA
Branson1918,"Branson, George",male,1918-02-23,0,LIB,Liberal Party of Australia,Liberals,NA
Breen1898,"Breen, John",male,NA,1,ALP,Australian Labor Party,Labor,1940
Breen1902,"Breen, Marie",female,1902-11-03,0,LIB,Liberal Party of Australia,Liberals,NA
Brennan1866,"Brennan, Tom",male,NA,0,UAP,United Australia Party,United Australia Party,NA
Brennan1873,"Brennan, Frank",male,NA,1,ALP,Australian Labor Party,Labor,1911
Brennan1873,"Brennan, Frank",male,NA,1,ALP,Australian Labor Party,Labor,1934
Brennan1873,"Brennan, Frank",male,NA,1,ALP,Australian Labor Party,Labor,1911
Brennan1873,"Brennan, Frank",male,NA,1,ALP,Australian Labor Party,Labor,1934
Brennan1873,"Brennan, Frank",male,NA,1,FLP,Federal Labor Party,Federal Labor Party,1911
Brennan1873,"Brennan, Frank",male,NA,1,FLP,Federal Labor Party,Federal Labor Party,1934
Brereton1946,"Brereton, Laurie",male,1946-05-29,1,ALP,Australian Labor Party,Labor,1990
BridgesMaxwell1929,"Bridges-Maxwell, William",male,1929-09-27,1,LIB,Liberal Party of Australia,Liberals,1964
Briggs1977,"Briggs, Jamie",male,1977-06-09,1,LIB,Liberal Party of Australia,Liberals,2008
Brimblecombe1898,"Brimblecombe, Wilfred",male,1898-02-06,1,CP,Australian Country Party,Nationals,1951
Broad1975,"Broad, Andrew",male,1975-07-02,1,NP,The Nationals,The Nationals,2013
Broadbent1950,"Broadbent, Russell",male,1950-12-25,1,LIB,Liberal Party of Australia,Liberals,1990
Broadbent1950,"Broadbent, Russell",male,1950-12-25,1,LIB,Liberal Party of Australia,Liberals,1996
Broadbent1950,"Broadbent, Russell",male,1950-12-25,1,LIB,Liberal Party of Australia,Liberals,2004
Broadbent1950,"Broadbent, Russell",male,1950-12-25,1,LIB,Liberal Party of Australia,Liberals,2019
Brockman1970,"Brockman, Slade",male,1970-03-27,0,LIB,Liberal Party of Australia,Liberals,NA
Brodtmann1963,"Brodtmann, Gai",female,1963-11-24,1,ALP,Australian Labor Party,Labor,2010
Brough1961,"Brough, Mal",male,1961-12-29,1,LIB,Liberal Party of Australia,Liberals,2013
Brough1961,"Brough, Mal",male,1961-12-29,1,LIB,Liberal Party of Australia,Liberals,1996
Brown1843,"Brown, Joseph",male,1844-02-07,1,ANTI-SOC,Anti-Socialist Party,Anti-Socialist Party,1906
Brown1861,"Brown, Thomas",male,1861-10-06,1,ALP,Australian Labor Party,Labor,1906
Brown1861,"Brown, Thomas",male,1861-10-06,1,ALP,Australian Labor Party,Labor,1901
Brown1885,"Brown, Gordon",male,1885-02-11,0,ALP,Australian Labor Party,Labor,NA
Brown1885,"Brown, Gordon",male,1885-02-11,0,FLP,Federal Labor Party,Labor,NA
