uniqueID,name,gender,birthDate,member
Corcoran1951,"Corcoran, Ann",female,1951-09-21,1
Cormack1906,"Cormack, Magnus",male,1906-02-12,0
Cormann1970,"Cormann, Mathias",male,1970-09-20,0
Corser1852,"Corser, Edward",male,NA,1
Corser1882,"Corser, Bernard",male,1882-01-04,1
Costa1900,"Costa, Dominic",male,1900-12-10,1
Costello1957,"Costello, Peter",male,1957-08-14,1
Cotter1935,"Cotter, Mick",male,1935-03-21,1
Cotton1915,"Cotton, Bob",male,1915-11-29,0
Coulter1930,"Coulter, John",male,1930-12-03,0
Coulton1958,"Coulton, Mark",male,1958-02-03,1
Courtenay1879,"Courtenay, Lionel",male,1879-05-29,0
Courtice1885,"Courtice, Ben",male,1885-03-28,0
Courtice1950,"Courtice, Brian",male,1950-04-17,1
Courtnay1903,"Courtnay, Frank",male,1903-06-06,1
Coutts1908,"Coutts, Wilfred",male,1908-06-10,1
Cowan1926,"Cowan, Bruce",male,1926-01-15,1
Cox1863,"Cox, Charles",male,1863-05-02,0
Cox1954,"Cox, David",male,1954-08-01,1
Cox1977,"Cox, Dorinda",female,NA,0
Cramer1897,"Cramer, John",male,1897-02-18,1
Crane1941,"Crane, Arthur",male,1941-08-21,0
Crawford1865,"Crawford, Thomas",male,1865-01-31,0
Crawford1947,"Crawford, Mary",female,1947-04-12,1
Crean1916,"Crean, Frank",male,1916-02-28,1
Crean1949,"Crean, Simon",male,1949-02-26,1
Cremean1907,"Cremean, Jack",male,1907-01-26,1
Crewther1983,"Crewther, Chris",male,1983-08-06,1
CrichtonBrowne1944,"Crichton-Browne, Noel",male,1944-02-02,0
Critchley1892,"Critchley, Jack",male,1892-04-18,0
Croft1871,"Croft, John",male,1871-01-20,0
Crook1959,"Crook, Tony",male,1959-06-23,1
Crosio1939,"Crosio, Janice",female,1939-01-03,1
Cross1929,"Cross, Manfred",male,1929-08-12,1
Crossin1956,"Crossin, Trish",female,1956-03-21,0
Crouch1868,"Crouch, Richard",male,1868-06-19,1
Crowley1938,"Crowley, Rosemary",female,1938-07-30,0
Cruickshank1853,"Cruickshank, George",male,1853-02-01,1
Culleton1964,"Culleton, Rod",male,1964-06-05,0
Culley1877,"Culley, Charles",male,1877-04-16,1
Culpin1846,"Culpin, Millice",male,1846-12-01,1
Cunningham1879,"Cunningham, James",male,1879-12-28,0
Cunningham1889,"Cunningham, Lou",male,1889-06-04,1
Cunningham1939,"Cunningham, Barry",male,1939-10-26,1
Curtin1885,"Curtin, John",male,1885-01-08,1
Curtin1898,"Curtin, Dan",male,1898-02-04,1
Cusack1868,"Cusack, John",male,1868-08-08,1
Daly1891,"Daly, John",male,1891-11-10,0
Daly1912,"Daly, Fred",male,1912-06-13,1
Danby1955,"Danby, Michael",male,1955-02-16,1
Dankel1864,"Dankel, George",male,1864-03-06,1
Darcey1870,"Darcey, Richard",male,1870-02-26,0
Dargavel1966,"Dargavel, Steve",male,1966-06-10,1
Darling1936,"Darling, Elaine",female,1936-06-06,1
Dastyari1983,"Dastyari, Sam",male,1983-07-28,0
DAth1970,"D'Ath, Yvette",female,1970-07-26,1
Davey1972,"Davey, Perin",female,1972-02-05,0
Davidson1897,"Davidson, Charles",male,1897-09-14,1
Davidson1915,"Davidson, Gordon",male,1915-01-17,0
Davies1884,"Davies, Billy",male,NA,1
Davies1919,"Davies, Ron",male,1919-07-25,1
Davis1900,"Davis, Frank",male,1900-04-13,1
Dawkins1947,"Dawkins, Joe",male,1947-03-02,1
Dawson1863,"Dawson, Anderson",male,1863-07-16,0
Day1952,"Day, Bob",male,1952-07-05,0
Deahm1938,"Deahm, Maggie",female,1938-10-31,1
Deakin1856,"Deakin, Alfred",male,1856-08-03,1
Dean1913,"Dean, Roger",male,1913-12-10,1
Dean1942,"Dean, Gordon",male,1942-06-13,1
Debus1943,"Debus, Bob",male,1943-09-16,1
Dedman1896,"Dedman, John",male,1896-06-02,1
Dein1889,"Dein, Dick",male,1889-03-04,1
deLargie1859,"de Largie, Hugh",male,1859-03-24,0
Denman1937,"Denman, Kay",female,1937-07-22,0
Dennis1870,"Dennis, Samuel",male,1870-03-26,1
Devereux1946,"Devereux, John",male,1946-02-08,0
Devine1923,"Devine, Len",male,1923-10-14,1
Devitt1921,"Devitt, Don",male,1921-07-11,0
Devlin1898,"Devlin, Jack",male,1898-06-06,0
Devlin1926,"Devlin, Ray",male,1926-03-17,0
Dick1972,"Dick, Milton",male,1972-07-21,1
DiNatale1970,"Di Natale, Richard",male,1970-06-06,0
Dittmer1904,"Dittmer, Felix",male,1904-06-27,0
Dobie1927,"Dobie, Don",male,1927-07-28,1
Dobson1841,"Dobson, Henry",male,1841-12-24,0
Dodd1953,"Dodd, Peter",male,1953-10-31,1
Dodson1948,"Dodson, Pat",male,1948-01-29,0
Dondas1939,"Dondas, Nick",male,1939-10-26,1
Dooley1884,"Dooley, John",male,1884-11-11,0
Downer1843,"Downer, John",male,1843-07-06,0
Downer1910,"Downer, Alick",male,1910-04-07,1
Downer1951,"Downer, Alexander",male,1951-09-09,1
Doyle1922,"Doyle, Frank",male,1922-06-17,1
Drake1850,"Drake, James",male,1850-04-26,0
DrakeBrockman1884,"Drake-Brockman, Edmund",male,1884-02-21,0
DrakeBrockman1919,"Drake-Brockman, Thomas",male,1919-05-15,0
Drakeford1878,"Drakeford, Arthur",male,1878-04-26,1
Draper1959,"Draper, Trish",female,1959-04-02,1
Dreyfus1956,"Dreyfus, Mark",male,1956-10-03,1
Drum1960,"Drum, Kevin",male,1960-07-28,1
Drummond1890,"Drummond, David",male,1890-02-11,1
Drummond1931,"Drummond, Peter",male,1931-08-21,1
Drury1911,"Drury, Nigel",male,1911-05-15,1
Drury1912,"Drury, Arnold",male,1912-07-23,0
Dubois1940,"Dubois, Stephen",male,1940-02-01,1
Duffy1938,"Duffy, Michael",male,1938-03-02,1
Duncan1883,"Duncan, Walter",male,1883-03-14,0
Duncan1945,"Duncan, Peter",male,1945-01-01,1
DuncanHughes1882,"Duncan-Hughes, Jack",male,1882-09-01,1
Duniam1982,"Duniam, Jonathon",male,1982-12-31,0
Dunn1887,"Dunn, James",male,1887-08-20,0
Dunn1948,"Dunn, Irina",female,1948-03-17,0
Durack1926,"Durack, Peter",male,1926-10-20,0
Duthie1912,"Duthie, Gilbert",male,1912-05-21,1
Dutton1970,"Dutton, Peter",male,1970-11-18,1
Earle1865,"Earle, John",male,1865-11-15,0
Easson1955,"Easson, Mary",female,1955-06-16,1
Edmonds1903,"Edmonds, Bill",male,1903-10-23,1
Edwards1842,"Edwards, Richard",male,NA,1
Edwards1855,"Edwards, George",male,1855-01-30,1
Edwards1927,"Edwards, Harry",male,1927-01-10,1
Edwards1945,"Edwards, Ron",male,1945-07-02,1
Edwards1946,"Edwards, Graham",male,1946-07-18,1
Edwards1962,"Edwards, Sean",male,1962-01-02,0
Eggins1898,"Eggins, Jim",male,1898-04-07,1
Eggleston1941,"Eggleston, Alan",male,1941-12-30,0
Einfeld1909,"Einfeld, Syd",male,1909-06-17,1
Eldridge1872,"Eldridge, John",male,NA,1
Ellicott1927,"Ellicott, Bob",male,1927-04-15,1
